id,title,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,Date,Time,Duration_in_hours,CatchyWords
206592,:::Beginners Guide To Creating Amazing Images with Canva:::,25.0,72,5,17,0,2014-04-29,19:50:31,1.0,0.0
15467,Learn To Draw - The COMIC BOOK STYLE,55.0,363,14,19,1,2012-06-01,21:53:11,2.0,0.0
983444,Adobe Illustrator Vectors For Hand Letterers,100.0,23,2,9,0,2016-10-21,18:50:38,0.6166666666666667,0.0
74782,How To Create Amazing YouTube Custom Thumbnail Images,25.0,78,6,16,1,2013-09-29,22:43:14,1.5,0.0
456988,Graphic Design Bootcamp: Professional Workflow & Layout Tips,20.0,99,10,9,1,2015-03-26,18:24:10,1.5,0.0
1049760,Promotional Design Master Class,50.0,14,2,26,1,2016-12-24,05:22:40,2.0,0.0
808808,Introduction to GIMP 2.8: Tutorials for Beginners,20.0,282,8,28,0,2016-04-01,17:31:53,3.0,0.0
599652,48 Logo Designs and Techniques,20.0,113,9,48,1,2015-09-15,00:23:14,9.0,0.0
524748,Photoshop JumpStart,20.0,66,13,13,0,2015-07-02,21:41:25,2.0,0.0
310652,How To Sell Practically Anything: Professional Design Mockup,50.0,52,2,19,1,2014-10-08,09:08:28,2.5,0.0
946326,"Learn Calligraphy, Handwriting animation wz After Effects",40.0,116,1,18,1,2016-11-03,21:56:02,2.5,0.0
1146166,LaTeX A-Z: from beginner to advance in less than 3 hour,95.0,623,14,30,0,2017-03-27,18:46:54,3.0,0.0
1190334,Course Bundle | Exploring Art : Silhouette & Linear Line Art,80.0,827,1,15,1,2017-04-24,16:52:39,1.0,0.0
895394,How To Build Your Own Web Banner Design Business,20.0,5000,7,21,1,2016-07-05,18:41:46,1.0,0.0
1100628,Canva: Design and Sell Your Own Professional Canva Designs,200.0,793,26,52,1,2017-03-02,00:59:33,3.0,0.0
996868,How to Design a Logo in Adobe Illustrator,100.0,972,44,24,1,2016-11-14,15:26:17,1.0,0.0
751230,Illustrator CC: Design and drawing from scratch to expert!,150.0,2427,99,97,0,2016-12-15,15:18:47,11.0,0.0
356840,Logo design: How To Design an Awesome Logo in Illustrator,195.0,3131,131,56,1,2014-11-28,09:04:50,5.5,0.0
269082,Photoshop: Real World Hands-on Freelance Mastery,105.0,5950,25,29,1,2014-09-25,09:14:15,2.5,0.0
449788,Graphic Design: Beginner's Graphic Design Guide to Photoshop,25.0,4550,74,15,1,2015-05-20,21:10:45,1.0,0.0
792232,Most Wanted Flat Design Techniques,195.0,2081,35,61,2,2016-03-17,18:21:18,4.5,0.0
1164876,3DS MAX - Learn 3Ds MAX tutorial for Beginners in Urdu Hindi,20.0,785,2,29,1,2017-04-18,16:45:59,4.5,0.0
861444,Design your own Social Media Logo Icons in Adobe Illustrator,50.0,2424,29,15,0,2016-06-05,15:11:49,1.5,0.0
148982,Mashup - Transform a scanned sketch into a digital painting,20.0,57,3,16,2,2014-10-23,00:42:36,2.0,0.0
861742,Motion Graphic With After Effect From Scratch in 5 Hours,30.0,50,7,45,1,2016-06-01,17:40:56,4.0,0.0
817074,Introduction to Photoshop CC: Tutorials for Beginners,20.0,262,0,12,0,2016-04-10,20:12:18,1.0,0.0
286160,Making Killer Images in Photoshop that WOW Clients!,95.0,45,1,26,2,2014-10-25,03:57:07,5.0,0.0
788722,Simple Photoshop CC: Smart Objects,20.0,272,0,11,2,2016-03-15,14:49:51,0.5,0.0
1008654,Learn Photo Manipulation - Build 3 projects,40.0,10,1,18,1,2016-11-27,16:01:42,2.5,0.0
964478,Zombie Apocalypse Photoshop Actions,50.0,12,1,15,1,2016-09-26,22:19:48,1.5,0.0
